TotPkts,TotBytes,SrcBytes,Flag,Service,Count,DstBytes,Class
3.044522437723423,7.152268856032539,6.4692503167957724,9,22,22,6.1923624894748714,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,13,1,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,5,46,135,0.0,0
3.044522437723423,7.152268856032539,6.4692503167957724,9,41,11,0.0,1
3.044522437723423,7.152268856032539,6.4692503167957724,5,46,109,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,5,4,132,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,1,6.381816017406098,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,13,9,0.0,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,46,28,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,65,8.450198322591959,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,2,5.746203190540153,1
2.9444389791664403,7.050122520269059,6.4692503167957724,5,46,148,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,7,9.081711229379001,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,46,52,0.0,0
3.044522437723423,7.152268856032539,6.4692503167957724,9,22,4,7.360103972989152,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,14,1,0.0,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,11,67,4.90527477843843,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,22,3,7.991592282068092,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,25,6.304448802421981,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,11,74,4.836281906951478,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,51,1,5.799092654460526,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,22,6,9.441372724710629,1
3.044522437723423,7.152268856032539,6.4692503167957724,1,29,143,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,1,5.560681631015528,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,5,8.334711621820917,1
3.044522437723423,7.152268856032539,6.4692503167957724,5,3,207,0.0,0
3.044522437723423,7.152268856032539,6.4692503167957724,5,46,129,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,5,22,25,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,17,5.564520407322693,1
2.9444389791664403,7.050122520269059,6.4692503167957724,5,46,232,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,2,8,255,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,2,18,1,4.897839799950911,0
3.044522437723423,7.152268856032539,6.4692503167957724,9,14,510,0.0,0
3.044522437723423,7.152268856032539,6.4692503167957724,9,22,1,7.9892214088152755,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,1,7.744569809354495,1
3.044522437723423,7.152268856032539,6.4692503167957724,5,46,150,0.0,0
3.044522437723423,7.152268856032539,6.4692503167957724,9,19,20,0.0,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,19,2,0.0,0
3.044522437723423,7.152268856032539,6.4692503167957724,9,11,111,4.812184355372417,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,14,473,0.0,0
3.044522437723423,7.152268856032539,6.4692503167957724,9,11,146,3.8066624897703196,1
3.044522437723423,7.152268856032539,6.4692503167957724,1,22,1,0.0,1
3.044522437723423,7.152268856032539,6.4692503167957724,5,16,13,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,9,11,162,4.406719247264253,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,14,511,0.0,0
3.044522437723423,7.152268856032539,6.4692503167957724,9,41,1,4.663439094112067,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,22,15,7.693481640835175,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,19,2,0.0,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,11,178,4.9126548857360515,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,22,1,8.13622555490846,1
2.9444389791664403,7.050122520269059,6.4692503167957724,9,46,1,4.990432586778736,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,22,12,5.631211781821365,1
2.9444389791664403,7.050122520269059,6.4692503167957724,4,22,4,8.895766604056085,0
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,12,8.469891918298224,1
3.044522437723423,7.152268856032539,6.4692503167957724,9,13,1,0.0,0
2.9444389791664403,7.050122520269059,6.4692503167957724,9,22,1,9.025816391627028,0
3.044522437723423,7.152268856032539,6.4692503167957724,5,59,226,0.0,0
2.3978952727983707,6.846943139585379,6.846943139585379,5,17,273,0.0,0
